datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
2011010100,1,0,0,1,9.84,14.395,81,0,3,13,16
2011010101,1,0,0,1,9.02,13.635,80,0,8,32,40
2011010102,1,0,0,1,9.02,13.635,80,0,5,27,32
2011010103,1,0,0,1,9.84,14.395,75,0,3,10,13
2011010104,1,0,0,1,9.84,14.395,75,0,0,1,1
2011010105,1,0,0,2,9.84,12.88,75,6.0032,0,1,1
2011010106,1,0,0,1,9.02,13.635,80,0,2,0,2
2011010107,1,0,0,1,8.2,12.88,86,0,1,2,3
2011010108,1,0,0,1,9.84,14.395,75,0,1,7,8
2011010109,1,0,0,1,13.12,17.425,76,0,8,6,14
2011010110,1,0,0,1,15.58,19.695,76,16.9979,12,24,36
2011010111,1,0,0,1,14.76,16.665,81,19.0012,26,30,56
2011010112,1,0,0,1,17.22,21.21,77,19.0012,29,55,84
2011010113,1,0,0,2,18.86,22.725,72,19.9995,47,47,94
2011010114,1,0,0,2,18.86,22.725,72,19.0012,35,71,106
2011010115,1,0,0,2,18.04,21.97,77,19.9995,40,70,110
2011010116,1,0,0,2,17.22,21.21,82,19.9995,41,52,93
2011010117,1,0,0,2,18.04,21.97,82,19.0012,15,52,67
2011010118,1,0,0,3,17.22,21.21,88,16.9979,9,26,35
2011010119,1,0,0,3,17.22,21.21,88,16.9979,6,31,37
2011010120,1,0,0,2,16.4,20.455,87,16.9979,11,25,36
2011010121,1,0,0,2,16.4,20.455,87,12.998,3,31,34
2011010122,1,0,0,2,16.4,20.455,94,15.0013,11,17,28
2011010123,1,0,0,2,18.86,22.725,88,19.9995,15,24,39
2011010200,1,0,0,2,18.86,22.725,88,19.9995,4,13,17
2011010201,1,0,0,2,18.04,21.97,94,16.9979,1,16,17
2011010202,1,0,0,2,17.22,21.21,100,19.0012,1,8,9
2011010203,1,0,0,2,18.86,22.725,94,12.998,2,4,6
2011010204,1,0,0,2,18.86,22.725,94,12.998,2,1,3
2011010206,1,0,0,3,17.22,21.21,77,19.9995,0,2,2
2011010207,1,0,0,2,16.4,20.455,76,12.998,0,1,1
2011010208,1,0,0,3,16.4,20.455,71,15.0013,0,8,8
2011010209,1,0,0,2,15.58,19.695,76,15.0013,1,19,20
2011010210,1,0,0,2,14.76,17.425,81,15.0013,7,46,53
2011010211,1,0,0,2,14.76,16.665,71,16.9979,16,54,70
2011010212,1,0,0,2,14.76,16.665,66,19.9995,20,73,93
